NULL,NULL,c1m1_hotel,Dead Center,0
NULL,NULL,c1m2_streets,Dead Center,1
NULL,NULL,c1m3_mall,Dead Center,2
NULL,NULL,c1m4_atrium,Dead Center,3
NULL,NULL,c2m1_highway,Dark Carnival,0
NULL,NULL,c2m2_fairgrounds,Dark Carnival,1
NULL,NULL,c2m3_coaster,Dark Carnival,2
NULL,NULL,c2m4_barns,Dark Carnival,3
NULL,NULL,c2m5_concert,Dark Carnival,4
NULL,NULL,c3m1_plankcountry,Swamp Fever,0
NULL,NULL,c3m2_swamp,Swamp Fever,1
NULL,NULL,c3m3_shantytown,Swamp Fever,2
NULL,NULL,c3m4_plantation,Swamp Fever,3
NULL,NULL,c4m1_milltown_a,Hard Rain,0
NULL,NULL,c4m2_sugarmill_a,Hard Rain,1
NULL,NULL,c4m3_sugarmill_b,Hard Rain,2
NULL,NULL,c4m4_milltown_b,Hard Rain,3
NULL,NULL,c4m5_milltown_escape,Hard Rain,4
NULL,NULL,c5m1_waterfront,The Parish,0
NULL,NULL,c5m2_park,The Parish,1
NULL,NULL,c5m3_cemetery,The Parish,2
NULL,NULL,c5m4_quarter,The Parish,3
NULL,NULL,c5m5_bridge,The Parish,4
NULL,NULL,c6m1_riverbank,The Passing,0
NULL,NULL,c6m2_bedlam,The Passing,1
NULL,NULL,c6m3_port,The Passing,2
NULL,NULL,c7m1_docks,The Sacrifice,0
NULL,NULL,c7m2_barge,The Sacrifice,1
NULL,NULL,c7m3_port,The Sacrifice,2
NULL,NULL,c8m1_apartment,No Mercy,0
NULL,NULL,c8m2_subway,No Mercy,1
NULL,NULL,c8m3_sewers,No Mercy,2
NULL,NULL,c8m4_interior,No Mercy,3
NULL,NULL,c8m5_rooftop,No Mercy,4
NULL,NULL,c9m1_alleys,Crash Course,0
NULL,NULL,c9m2_lots,Crash Course,1
NULL,NULL,c10m1_caves,Death Toll,0
NULL,NULL,c10m2_drainage,Death Toll,1
NULL,NULL,c10m3_ranchhouse,Death Toll,2
NULL,NULL,c10m4_mainstreet,Death Toll,3
NULL,NULL,c10m5_houseboat,Death Toll,4
NULL,NULL,c11m1_greenhouse,Dead Air,0
NULL,NULL,c11m2_offices,Dead Air,1
NULL,NULL,c11m3_garage,Dead Air,2
NULL,NULL,c11m4_terminal,Dead Air,3
NULL,NULL,c11m5_runway,Dead Air,4
NULL,NULL,c12m1_hilltop,Blood Harvest,0
NULL,NULL,C12m2_traintunnel,Blood Harvest,1
NULL,NULL,C12m3_bridge,Blood Harvest,2
NULL,NULL,C12m4_barn,Blood Harvest,3
NULL,NULL,C12m5_cornfield,Blood Harvest,4
NULL,NULL,c13m1_alpinecreek,Cold Stream,0
NULL,NULL,c13m2_southpinestream,Cold Stream,1
NULL,NULL,c13m3_memorialbridge,Cold Stream,2
NULL,NULL,c13m4_cutthroatcreek,Cold Stream,3
NULL,NULL,dprm1_milltown_a,Hard Rain: Downpour,0
NULL,NULL,dprm2_sugarmill_a,Hard Rain: Downpour,1
NULL,NULL,dprm3_sugarmill_b,Hard Rain: Downpour,2
NULL,NULL,dprm4_milltown_b,Hard Rain: Downpour,3
NULL,NULL,dprm5_milltown_escape,Hard Rain: Downpour,4
NULL,NULL,cdta_01detour,Detour Ahead,0
NULL,NULL,cdta_02road,Detour Ahead,1
NULL,NULL,cdta_03warehouse,Detour Ahead,2
NULL,NULL,cdta_04onarail,Detour Ahead,3
NULL,NULL,cdta_05finalroad,Detour Ahead,4
